top - 23:02:31 up 13 days, 12:31,  5 users,  load average: 0,07, 0,14, 0,09
Threads: 573 total,   1 running, 572 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,1 us,  4,7 sy,  0,0 ni, 89,1 id,  3,1 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3799,2 total,    526,1 free,   1688,0 used,   1874,2 buff/cache     
MiB Swap:   3798,0 total,   3694,8 free,    103,1 used.   2111,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 158070 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   1:57.11 node /h+
 158072 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.00 node
 158073 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:01.66 node
 158074 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:01.69 node
 158075 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:01.62 node
 158076 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:01.67 node
 158100 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.00 node
 158105 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.22 node
 158106 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.22 node
 158107 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.21 node
 158108 gustavo   20   0 1300700  67508  40288 S   0,0   1,7   0:00.22 node
 163625 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:04.79 node
 163626 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 163627 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.06 node
 163628 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.05 node
 163629 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.10 node
 163630 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.09 node
 163631 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 163632 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 163633 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 163634 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 163635 gustavo   20   0 1030432  52364  39612 S   0,0   1,3   0:00.00 node
 164723 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:12.39 node /o+
 164724 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164725 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.31 node
 164726 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.20 node
 164727 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.23 node
 164728 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.23 node
 164729 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164730 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164731 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164732 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164733 gustavo   20   0 1266064  69124  46396 S   0,0   1,8   0:00.00 node
 164735 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:38.20 node /o+
 164736 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node
 164737 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:02.29 node
 164738 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:02.16 node
 164739 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:02.27 node
 164740 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:02.16 node
 164741 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node
 164743 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164744 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164745 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164746 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164747 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.01 node /o+
 164748 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164749 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164750 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164751 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164752 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164753 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164754 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164755 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164756 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164757 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164758 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164759 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164760 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164761 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164762 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164763 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164764 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164765 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164766 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164767 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164768 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164769 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164770 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164771 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164772 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164773 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164774 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164775 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164776 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.11 node /o+
 164777 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164778 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164779 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164780 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164781 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164782 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164783 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164784 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164785 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164786 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164787 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164788 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164789 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164790 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164791 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164792 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.01 node /o+
 164793 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164794 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164795 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164796 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164797 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164798 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164799 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164800 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164801 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164802 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164803 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164804 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164805 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164806 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164807 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164808 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164809 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164810 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164811 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164812 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164813 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164814 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164815 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164816 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164817 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
