Grado,X,Y,Potencia,EsHit
48,1360.0513,2485.4681,298.0255,1
154,1650.1427,1932.7363,5.3604,0
63,1709.2119,2392.5283,19.5528,1
134,1625.0379,2634.0813,130.2108,1
144,1860.7262,2299.9628,1.2813,0
180,1483.7690,1859.1789,14.8072,1
225,1926.2638,2120.7216,9.4537,0
271,943.1907,2249.7187,4.0341,0
316,1300.0966,1744.9378,705.7238,1
37,1605.2074,2437.9189,16.7982,1
107,1702.4719,2049.3641,13.4717,1
129,1418.9651,2655.2264,125.6018,1
159,1428.7502,1887.5453,1.0595,0
202,1726.1205,2675.5133,5.0301,0
247,1186.2738,2711.1672,11.5957,1
293,1950.9242,2014.0773,10.2373,1
338,1943.5306,2654.9205,28.9269,1
