grado,hits
0,9
1,8
2,13
3,9
4,10
5,13
6,11
7,13
8,19
9,9
10,15
11,8
12,15
13,15
14,12
15,11
16,14
17,17
18,15
19,15
20,18
21,13
22,15
23,19
24,17
25,17
26,18
27,17
28,20
29,17
30,14
31,19
32,21
33,21
34,18
35,13
36,20
37,23
38,22
39,19
40,22
41,22
42,17
43,23
44,23
45,20
46,24
47,21
48,29
49,17
50,22
51,19
52,18
53,21
54,23
55,28
56,25
57,21
58,21
59,19
60,19
61,21
62,23
63,27
64,19
65,19
66,13
67,25
68,17
69,19
70,21
71,15
72,15
73,15
74,13
75,11
76,13
77,17
78,11
79,11
80,11
81,13
82,13
83,11
84,9
85,9
86,7
87,8
88,7
89,9
90,9
91,9
92,8
93,7
94,11
95,15
96,11
97,15
98,15
99,17
100,17
101,19
102,18
103,21
104,21
105,20
106,25
107,23
108,19
109,17
110,23
111,19
112,17
113,15
114,11
115,21
116,15
117,13
118,15
119,15
120,13
121,19
122,21
123,17
124,19
125,19
126,21
127,17
128,19
129,23
130,21
131,17
132,23
133,25
134,27
135,21
136,21
137,25
138,23
139,19
140,25
141,23
142,21
143,25
144,27
145,23
146,21
147,27
148,25
149,19
150,25
151,27
152,23
153,25
154,29
155,27
156,21
157,25
158,27
159,23
160,21
161,27
162,25
163,21
164,23
165,25
166,27
167,23
168,25
169,27
170,23
171,21
172,25
173,27
174,23
175,25
176,27
177,23
178,21
179,25
180,27
181,23
182,25
183,27
184,23
185,21
186,25
187,27
188,23
189,25
190,27
191,23
192,21
193,25
194,27
195,23
196,25
197,27
198,23
199,21
200,25
201,27
202,23
203,25
204,27
205,23
206,21
207,25
208,27
209,23
210,25
211,27
212,23
213,21
214,25
215,27
216,23
217,25
218,27
219,23
220,21
221,25
222,27
223,23
224,25
225,27
226,23
227,21
228,25
229,27
230,23
231,25
232,27
233,23
234,21
235,25
236,27
237,23
238,25
239,27
240,23
241,21
242,25
243,27
244,23
245,25
246,27
247,23
248,21
249,25
250,27
251,23
252,25
253,27
254,23
255,21
256,25
257,27
258,23
259,25
260,27
261,23
262,21
263,25
264,27
265,23
266,25
267,27
268,23
269,21
270,25
271,27
272,23
273,25
274,27
275,23
276,21
277,25
278,27
279,23
280,25
281,27
282,23
283,21
284,25
285,27
286,23
287,25
288,27
289,23
290,21
291,25
292,27
293,23
294,25
295,27
296,23
297,21
298,25
299,27
300,23
301,25
302,27
303,23
304,21
305,25
306,27
307,23
308,25
309,27
310,23
311,21
312,25
313,27
314,23
315,25
316,27
317,23
318,21
319,25
320,27
321,23
322,25
323,27
324,23
325,21
326,25
327,27
328,23
329,25
330,27
331,23
332,21
333,25
334,27
335,23
336,25
337,27
338,23
339,21
340,25
341,27
342,23
343,25
344,27
345,23
346,21
347,25
348,27
349,23
350,25
351,27
352,23
353,21
354,25
355,27
356,23
357,25
358,27
359,23
360,21
